Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,Idea 5: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
claude-3-5-sonnet-20241022,"Redacted, Correct",,,,,,,,,,,,
claude-3-5-sonnet-20241022,"Redacted, Incorrect",,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Correct",,,,,,,,,,,,
claude-3-haiku-20240307,"Redacted, Incorrect",,,,,,,,,,,,
claude-3-sonnet-20240229,"Redacted, Correct",,,,,,,,,,,,
claude-3-sonnet-20240229,"Redacted, Incorrect",,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Correct",,,,,,,,,,,,
claude-sonnet-4-20250514,"Redacted, Incorrect",,,,,,,,,,,,
deepseek-chat,"Redacted, Correct",,,,,,,,,,,,
deepseek-chat,"Redacted, Incorrect",,,,,,,,,,,,
gemini-1.5-pro,"Redacted, Correct",,,,,,,,,,,,
gemini-1.5-pro,"Redacted, Incorrect",,,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Correct",,,,,,,,,,,,
gemini-2.0-flash-001,"Redacted, Incorrect",,,,,,,,,,,,
gemini-2.5-flash-preview-04-17,"Redacted, Correct",,,,,,,,,,,,
gemini-2.5-flash-preview-04-17,"Redacted, Incorrect",,,,,,,,,,,,
gpt-4.1-2025-04-14,"Redacted, Correct",,,,,,,,,,,,
gpt-4.1-2025-04-14,"Redacted, Incorrect",,,,,,,,,,,,
gpt-4o-2024-08-06,"Redacted, Correct",,,,,,,,,,,,
gpt-4o-2024-08-06,"Redacted, Incorrect",,,,,,,,,,,,
grok-3-latest,"Redacted, Correct",,,,,,,,,,,,
grok-3-latest,"Redacted, Incorrect",,,,,,,,,,,,
